cod;nome;período;de-jovens -UF.csv;mulheres-negras;homens-negros;mulheres-nao-negras;de-jovens-mulheres;de-mulheres-por-armas-de-fogo;de-jovens-homens;homicidios;de-jovens-por-armas-de-fogo;mulheres;por-armas-de-fogo;negros;de-homens-por-armas-de-fogo;homens-nao-negros;nao-negros;homens
27;AL;1992;33.4;;;;6.42;1.31;61.9;23.31;18.01;4.09;11.2;;21.5;;;43.42
27;AL;1993;31.9;;;;3.9;2.17;61.7;23.77;19.7;3.75;13.48;;25.3;;;44.72
27;AL;1994;33.91;;;;5.38;1.77;64.2;23.25;21.9;3.55;14.52;;27.8;;;43.88
27;AL;1995;37.82;;;;7.32;2.76;70.3;27.63;26.39;4.51;18.06;;34.0;;;51.84
27;AL;1996;42.37;;;;8.084;3.18;78.49;28.14;30.56;5.19;19.56;;36.7;;;51.45
27;AL;1997;37.82;;;;9.05;3.15;70.83;24.11;25.4;4.55;17.99;;33.5;;;58.14
27;AL;1998;33.58;;;;6.67;2.03;60.89;21.65;24.63;3.27;15.4;;29.4;;;41.13
27;AL;1999;33.74;;;;5.175;2.08;62.48;20.42;25.66;3.96;14.08;;26.6;;;36.47
27;AL;2000;46.8;4.54;50.74;2.16;7.11;2.24;86.41;26.55;32.82;4.34;17.67;27.04;4.43;23.45;11.95;46.34
27;AL;2001;55.9;2.78;53.02;2.65;5.36;1.94;106.09;29.06;42.97;3.61;21.14;27.23;37.78;27.51;13.95;53.47
27;AL;2002;64.13;3.49;58.83;1.64;6.89;2.97;121.27;34.32;49.9;4.62;24.93;30.26;49.35;27.03;13.38;62.75
27;AL;2003;69.67;3.57;56.57;1.13;6.57;2.22;132.73;35.61;53.93;4.37;26.53;29.5;35.02;14.29;7.44;65.45
27;AL;2004;69.88;4.07;65.87;1.76;7.62;2.25;132.2;35.11;53.95;4.83;25.29;34.65;33.82;9.76;5.47;63.93
27;AL;2005;77.5;4.17;71.71;1.67;8.01;2.29;147.19;39.89;59.8;4.71;30.14;37.41;37.5;15.27;7.87;74.39
27;AL;2006;108.6;6.16;94.14;1.21;12.16;4.03;205.5;53.1;91.2;6.68;42.88;50.22;72.07;14.42;7.36;98.79
27;AL;2007;121.77;5.76;105.25;2.5;12.33;4.62;232.01;59.51;105.97;6.8;51.1;54.21;82.52;16.78;9.2;111.68
27;AL;2008;126.08;5.96;129.23;0.672;9.01;3.4;244.35;60.33;112.39;5.13;51.03;66.11;76.35;14.31;6.98;115.69
27;AL;2009;123.24;7.54;124.77;0.51;12.08;4.96;235.91;59.35;107.1;6.8;49.43;64.48;9.91;13.44;6.54;112.14
27;AL;2010;142.68;8.21;134.49;1.45;14.07;5.34;273.53;66.88;123.94;8.32;55.14;69.23;68.47;11.58;6.2;123.25
27;AL;2011;147.09;9.04;162.84;1.62;13.44;5.67;283.6;71.39;131.17;8.32;60.86;82.97;66.64;17.49;9.08;132.27
27;AL;2012;137.81;9.04;148.67;2.83;14.37;5.99;264.39;64.63;123.03;7.97;54.87;76.64;69.97;20.12;10.8;119.45
27;AL;2013;147.78;9.44;148.99;4.32;13.76;6.14;285.53;65.07;132.47;8.46;56.35;77.98;80.23;26.0;14.52;124.52
27;AL;2014;140.49;9.9;153.52;0.878;14.9;5.03;270.25;62.78;126.25;7.4;54.37;78.79;82.93;18.3;8.89;121.13
