cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
43;RS;1993;637.0;516;49;369.0;565.0;50.0;;;1064.0;1177.0;;;113.0;;;687
43;RS;1994;720.0;588;56;426.0;644.0;70.0;;;1196.0;1334.0;;;138.0;;;790
43;RS;1995;884.0;604;64;494.0;668.0;89.0;;;1288.0;1439.0;;;151.0;;;973
43;RS;1996;886.0;593;84;492.0;677.0;111.0;0.0;0.0;1290.0;1482.0;0.0;0.0;192.0;0.0;0.0;997
43;RS;1997;1029.0;694;71;580.0;765.0;118.0;1081.0;232.0;1458.0;1648.0;144.0;23.0;190.0;1225.0;255.0;1147
43;RS;1998;958.0;641;75;546.0;716.0;100.0;1019.0;231.0;1343.0;1524.0;137.0;30.0;181.0;1156.0;261.0;1058
43;RS;1999;995.0;711;68;596.0;779.0;90.0;1039.0;249.0;1370.0;1533.0;134.0;21.0;163.0;1173.0;270.0;1085
43;RS;2000;196.0;747;53;662.0;800.0;91.0;1216.0;250.0;1491.0;1668.0;147.0;22.0;175.0;1363.0;272.0;1250
43;RS;2001;244.0;807;73;719.0;880.0;102.0;1342.0;300.0;1674.0;1854.0;156.0;17.0;180.0;1498.0;317.0;1343
43;RS;2002;281.0;877;76;757.0;953.0;107.0;1402.0;288.0;1714.0;1912.0;162.0;34.0;198.0;1564.0;322.0;1373
43;RS;2003;384.0;871;61;755.0;932.0;95.0;1391.0;331.0;1731.0;1908.0;152.0;23.0;177.0;1543.0;354.0;1365
43;RS;2004;345.0;936;80;837.0;1016.0;106.0;1414.0;358.0;1787.0;1982.0;167.0;26.0;195.0;1581.0;384.0;1432
43;RS;2005;359.0;957;77;836.0;1034.0;114.0;1415.0;385.0;1812.0;2021.0;186.0;22.0;209.0;1601.0;407.0;1473
43;RS;2006;352.0;924;56;787.0;980.0;83.0;1457.0;351.0;1821.0;1983.0;128.0;30.0;162.0;1585.0;381.0;1425
43;RS;2007;356.0;1056;81;939.0;1137.0;100.0;1574.0;411.0;2003.0;2199.0;161.0;29.0;193.0;1735.0;440.0;1661
43;RS;2008;461.0;1116;83;1011.0;1199.0;118.0;1685.0;439.0;2161.0;2380.0;184.0;32.0;219.0;1869.0;471.0;1801
